name,name,season,name,position,total_market_value,nb_players
Chelsea FC,BlueCo,22/23,Premier League,12.0,994950000.0,43.0
Chelsea FC,BlueCo,23/24,Premier League,6.0,1013650000.0,56.0
Chelsea FC,BlueCo,24/25,Premier League,4.0,1193950000.0,58.0
RC Strasbourg Alsace,BlueCo,23/24,Ligue 1,13.0,157700000.0,39.0
RC Strasbourg Alsace,BlueCo,24/25,Ligue 1,7.0,307850000.0,42.0
Basaksehir FK,City Football Group,23/24,Super Lig,4.0,54150000.0,43.0
Basaksehir FK,City Football Group,24/25,Super Lig,5.0,65175000.0,39.0
ESTAC Troyes,City Football Group,19/20,Ligue 2,4.0,31975000.0,32.0
ESTAC Troyes,City Football Group,20/21,Ligue 2,1.0,28850000.0,39.0
ESTAC Troyes,City Football Group,21/22,Ligue 1,15.0,73200000.0,50.0
ESTAC Troyes,City Football Group,22/23,Ligue 1,19.0,76300000.0,41.0
ESTAC Troyes,City Football Group,23/24,Ligue 2,17.0,27650000.0,42.0
ESTAC Troyes,City Football Group,24/25,Ligue 2,10.0,28700000.0,35.0
Esporte Clube Bahia,City Football Group,22/23,Brasileiro,16.0,70500000.0,72.0
Esporte Clube Bahia,City Football Group,23/24,Brasileiro,8.0,76950000.0,63.0
Esporte Clube Bahia,City Football Group,24/25,Brasileiro,5.0,101500000.0,29.0
Girona FC,City Football Group,18/19,La Liga,18.0,97250000.0,33.0
Girona FC,City Football Group,19/20,Segunda División,5.0,41375000.0,37.0
Girona FC,City Football Group,20/21,Segunda División,5.0,36325000.0,40.0
Girona FC,City Football Group,21/22,Segunda División,6.0,38050000.0,40.0
Girona FC,City Football Group,22/23,La Liga,10.0,139900000.0,37.0
Girona FC,City Football Group,23/24,La Liga,3.0,297900000.0,37.0
Girona FC,City Football Group,24/25,La Liga,16.0,153100000.0,46.0
Lommel SK,City Football Group,19/20,Challenger Pro League,6.0,6625000.0,36.0
Lommel SK,City Football Group,20/21,Challenger Pro League,3.0,11975000.0,36.0
Lommel SK,City Football Group,21/22,Challenger Pro League,6.0,9925000.0,33.0
Lommel SK,City Football Group,22/23,Challenger Pro League,7.0,11875000.0,41.0
Lommel SK,City Football Group,23/24,Challenger Pro League,4.0,14700000.0,37.0
Lommel SK,City Football Group,24/25,Challenger Pro League,11.0,15500000.0,37.0
Montevideo City Torque,City Football Group,18/19,Segunda División - Fase Regular,1.0,3525000.0,31.0
Montevideo City Torque,City Football Group,19/20,Liga AUF Clausura,3.0,4875000.0,35.0
Montevideo City Torque,City Football Group,20/21,Liga AUF Apertura,6.0,7500000.0,36.0
Montevideo City Torque,City Football Group,20/21,Liga AUF Clausura,5.0,7500000.0,36.0
Montevideo City Torque,City Football Group,21/22,Liga AUF Apertura,13.0,10500000.0,53.0
Montevideo City Torque,City Football Group,21/22,Liga AUF Clausura,14.0,10500000.0,53.0
Montevideo City Torque,City Football Group,22/23,Liga AUF Clausura,7.0,16400000.0,53.0
Montevideo City Torque,City Football Group,22/23,Liga AUF Apertura,14.0,16400000.0,53.0
Montevideo City Torque,City Football Group,23/24,Segunda División - Fase Regular,3.0,12025000.0,70.0
Montevideo City Torque,City Football Group,24/25,Liga AUF Apertura,10.0,7325000.0,22.0
Mumbai City FC,City Football Group,18/19,Indian Super League,3.0,5150000.0,29.0
Mumbai City FC,City Football Group,19/20,Indian Super League,5.0,4500000.0,28.0
Mumbai City FC,City Football Group,20/21,Indian Super League,1.0,5625000.0,29.0
Mumbai City FC,City Football Group,21/22,Indian Super League,5.0,5225000.0,32.0
Mumbai City FC,City Football Group,22/23,Indian Super League,1.0,5925000.0,37.0
Mumbai City FC,City Football Group,23/24,Indian Super League,2.0,6675000.0,40.0
Mumbai City FC,City Football Group,24/25,Indian Super League,6.0,5375000.0,35.0
Shenzhen Peng City,City Football Group,18/19,China League Two South,4.0,650000.0,33.0
