name,name,since_year,nb_transfers_in_top_25
Basaksehir FK,City Football Group,2024.0,7
Manchester United,Ineos,2024.0,6
RC Strasbourg Alsace,BlueCo,2024.0,18
Al-Ahli SFC,Saudi PIF,2023.0,16
Al-Hilal SFC,Saudi PIF,2023.0,16
Al-Ittihad Club,Saudi PIF,2023.0,18
Al-Nassr FC,Saudi PIF,2023.0,13
Chelsea FC,BlueCo,2023.0,11
Esporte Clube Bahia,City Football Group,2023.0,15
NEOM SC,Saudi PIF,2023.0,25
Olympique Lyon,Eagle Football Group,2023.0,7
RWD Molenbeek,Eagle Football Group,2023.0,15
Rio Ave FC,Evangelos Marinakis,2023.0,12
AC Milan,RedBird Capital,2022.0,5
Botafogo de Futebol e Regatas,Eagle Football Group,2022.0,20
Real Oviedo,Grupo Pachuca,2022.0,7
SC Braga,QSI,2022.0,14
Newcastle United,Saudi PIF,2021.0,16
ESTAC Troyes,City Football Group,2020.0,20
FC Toulouse,RedBird Capital,2020.0,7
Lommel SK,City Football Group,2020.0,24
Red Bull Bragantino,RedBull GmbH,2020.0,21
