owner_name,team_name_a,team_name_b,transfers_since,nb_transfers
BlueCo,Chelsea FC,Chelsea FC,2025.0,0
BlueCo,Chelsea FC,RC Strasbourg Alsace,2025.0,7
BlueCo,RC Strasbourg Alsace,Chelsea FC,2025.0,7
BlueCo,RC Strasbourg Alsace,RC Strasbourg Alsace,2025.0,0
City Football Group,Basaksehir FK,Basaksehir FK,2025.0,0
City Football Group,Basaksehir FK,Bolívar La Paz,2025.0,0
City Football Group,Basaksehir FK,ESTAC Troyes,2025.0,0
City Football Group,Basaksehir FK,Esporte Clube Bahia,2025.0,0
City Football Group,Basaksehir FK,Girona FC,2025.0,0
City Football Group,Basaksehir FK,Lommel SK,2025.0,0
City Football Group,Basaksehir FK,Manchester City,2025.0,0
City Football Group,Basaksehir FK,Melbourne City FC,2025.0,0
City Football Group,Basaksehir FK,Montevideo City Torque,2025.0,0
City Football Group,Basaksehir FK,Mumbai City FC,2025.0,0
City Football Group,Basaksehir FK,New York City FC,2025.0,0
City Football Group,Basaksehir FK,Palermo FC,2025.0,0
City Football Group,Basaksehir FK,Shenzhen Peng City,2025.0,1
City Football Group,Basaksehir FK,Yokohama F. Marinos,2025.0,0
City Football Group,Bolívar La Paz,Basaksehir FK,2025.0,0
City Football Group,Bolívar La Paz,Bolívar La Paz,2025.0,0
City Football Group,Bolívar La Paz,ESTAC Troyes,2025.0,0
City Football Group,Bolívar La Paz,Esporte Clube Bahia,2025.0,0
City Football Group,Bolívar La Paz,Girona FC,2025.0,0
City Football Group,Bolívar La Paz,Lommel SK,2025.0,0
City Football Group,Bolívar La Paz,Manchester City,2025.0,0
City Football Group,Bolívar La Paz,Melbourne City FC,2025.0,0
City Football Group,Bolívar La Paz,Montevideo City Torque,2025.0,1
City Football Group,Bolívar La Paz,Mumbai City FC,2025.0,0
City Football Group,Bolívar La Paz,New York City FC,2025.0,0
City Football Group,Bolívar La Paz,Palermo FC,2025.0,0
City Football Group,Bolívar La Paz,Shenzhen Peng City,2025.0,0
City Football Group,Bolívar La Paz,Yokohama F. Marinos,2025.0,0
City Football Group,ESTAC Troyes,Basaksehir FK,2025.0,0
City Football Group,ESTAC Troyes,Bolívar La Paz,2025.0,0
City Football Group,ESTAC Troyes,ESTAC Troyes,2025.0,0
City Football Group,ESTAC Troyes,Esporte Clube Bahia,2025.0,0
City Football Group,ESTAC Troyes,Girona FC,2025.0,0
City Football Group,ESTAC Troyes,Lommel SK,2025.0,1
City Football Group,ESTAC Troyes,Manchester City,2025.0,0
City Football Group,ESTAC Troyes,Melbourne City FC,2025.0,0
City Football Group,ESTAC Troyes,Montevideo City Torque,2025.0,0
City Football Group,ESTAC Troyes,Mumbai City FC,2025.0,0
City Football Group,ESTAC Troyes,New York City FC,2025.0,0
City Football Group,ESTAC Troyes,Palermo FC,2025.0,0
City Football Group,ESTAC Troyes,Shenzhen Peng City,2025.0,0
City Football Group,ESTAC Troyes,Yokohama F. Marinos,2025.0,0
City Football Group,Esporte Clube Bahia,Basaksehir FK,2025.0,0
City Football Group,Esporte Clube Bahia,Bolívar La Paz,2025.0,0
City Football Group,Esporte Clube Bahia,ESTAC Troyes,2025.0,0
City Football Group,Esporte Clube Bahia,Esporte Clube Bahia,2025.0,0
City Football Group,Esporte Clube Bahia,Girona FC,2025.0,0
City Football Group,Esporte Clube Bahia,Lommel SK,2025.0,1
City Football Group,Esporte Clube Bahia,Manchester City,2025.0,0
City Football Group,Esporte Clube Bahia,Melbourne City FC,2025.0,0
City Football Group,Esporte Clube Bahia,Montevideo City Torque,2025.0,0
City Football Group,Esporte Clube Bahia,Mumbai City FC,2025.0,0
City Football Group,Esporte Clube Bahia,New York City FC,2025.0,1
