competition_name,to_team_name,player_name,market_value,transfer_fees,variation_pct,rank
Saudi Pro League,Al-Ittihad Club,Hamed Al-Ghamdi,250000.0,9160000.0,3564.0,1
Saudi Pro League,Al-Ittihad Club,Ahmed Al-Julaydan,300000.0,10900000.0,3533.33,2
Saudi Pro League,NEOM SC,Saïmon Bouabré,300000.0,10000000.0,3233.33,3
Saudi Pro League,NEOM SC,Alaa Hejji,200000.0,5730000.0,2765.0,4
Saudi Pro League,NEOM SC,Thamer Al-Khaibri,125000.0,2860000.0,2188.0,5
Brasileiro,Esporte Clube Bahia,Luiz Gustavo,300000.0,5000000.0,1566.67,6
Saudi Pro League,Al-Nassr FC,Saad Al-Nasser,650000.0,9770000.0,1403.08,7
Premier League,AFC Bournemouth,Veljko Milosavljevic,1000000.0,15000000.0,1400.0,8
Bundesliga,RB Leipzig,Yan Diomande,1500000.0,20000000.0,1233.33,9
Ligue 1,RC Strasbourg Alsace,Martial Godo,600000.0,7000000.0,1066.67,10
Saudi Pro League,Al-Ahli SFC,Mohammed Abdulrahman,550000.0,5760000.0,947.27,11
Liga Portugal,SL Benfica,Rafa Obrador,500000.0,5000000.0,900.0,12
Serie A,Como 1907,Jayden Addai,1500000.0,14000000.0,833.33,13
Super Lig,Trabzonspor,Christ Inao Oulaï,600000.0,5500000.0,816.67,14
Saudi Pro League,NEOM SC,Abdulaziz Noor,650000.0,5730000.0,781.54,15
Saudi Pro League,Al-Nassr FC,Haroune Camara,400000.0,3400000.0,750.0,16
Brasileiro,Esporte Clube Bahia,Mateo Sanabria,600000.0,5000000.0,733.33,17
Saudi Pro League,NEOM SC,Faris Abdi,450000.0,3400000.0,655.56,18
Ligue 1,RC Strasbourg Alsace,Pape Demba Diop,1000000.0,7500000.0,650.0,19
Saudi Pro League,Al-Ahli SFC,Saleh Abu Al-Shamat,300000.0,2069999.9999999998,590.0,20
Saudi Pro League,Al-Shabab FC,Ali Makki,200000.0,1370000.0,585.0,21
Saudi Pro League,Al-Ahli SFC,Abdulelah Al-Khaibri,450000.0,2960000.0,557.78,22
Saudi Pro League,Al-Taawoun FC,Mohammed Mahzari,200000.0,1260000.0,530.0,23
Serie A,Bologna FC 1909,Torbjørn Heggem,1200000.0,7500000.0,525.0,24
La Liga,Deportivo Alavés,Youssef Enríquez,500000.0,3000000.0,500.0,25
Premier League,Crystal Palace,Jaydee Canvot,4000000.0,23000000.0,475.0,26
Eredivisie,Ajax Amsterdam,Joeri Heerkens,350000.0,2000000.0,471.43,27
Ligue 1,Olympique Lyon,Ruben Kluivert,700000.0,3780000.0,440.0,28
La Liga,CA Osasuna,Víctor Muñoz,1000000.0,5000000.0,400.0,29
Liga Portugal,FC Famalicão,Roméo Beney,500000.0,2500000.0,400.0,30
Ligue 1,Olympique Lyon,Afonso Moreira,400000.0,2000000.0,400.0,31
Serie A,AC Milan,David Odogu,1500000.0,7000000.0,366.67,32
Premier League,Wolverhampton Wanderers,Fer López,5000000.0,23000000.0,360.0,33
Premier League,Brentford FC,Romelle Donovan,800000.0,3600000.0,350.0,34
Brasileiro,Botafogo de Futebol e Regatas,Jordan Barrera,1000000.0,4300000.0,330.0,35
Ligue 1,RC Strasbourg Alsace,Lucas Høgsberg,3500000.0,15000000.0,328.57,36
La Liga,Atlético de Madrid,Marc Pubill,4000000.0,16000000.0,300.0,37
Ligue 1,AS Monaco,Stanis Idumbo,2500000.0,10000000.0,300.0,38
Premier League,Manchester City,Marcus Bettinelli,600000.0,2400000.0,300.0,39
Liga Portugal,FC Famalicão,Marcos Peña,500000.0,2000000.0,300.0,40
Ligue 1,Paris FC,Nhoa Sangui,2500000.0,9500000.0,280.0,41
Bundesliga,VfB Stuttgart,Chema Andrés,800000.0,3000000.0,275.0,42
Ligue 1,FC Toulouse,Julián Vignolo,400000.0,1500000.0,275.0,43
Liga Portugal,CF Estrela Amadora,Robinho,150000.0,525000.0,250.0,44
Serie A,Atalanta BC,Honest Ahanor,5000000.0,17000000.0,240.0,45
Premier League,Fulham FC,Kevin,12000000.0,40000000.0,233.33,46
La Liga,Villarreal CF,Santiago Mouriño,3000000.0,10000000.0,233.33,47
Serie A,Cagliari Calcio,Juan Rodríguez,1200000.0,4000000.0,233.33,48
Bundesliga,FC St. Pauli,Louis Oppie,600000.0,2000000.0,233.33,49
Saudi Pro League,NEOM SC,Amadou Koné,4000000.0,13330000.0,233.25,50
Ligue 1,Olympique Lyon,Matt Turner,2500000.0,8000000.0,220.0,51
Serie A,ACF Fiorentina,Simon Sohm,5000000.0,15000000.0,200.0,52
Liga Portugal,SC Braga,Pau Víctor,4000000.0,12000000.0,200.0,53
La Liga,Real Betis Balompié,Gonzalo Petit,1500000.0,4500000.0,200.0,54
Premier League,West Ham United,Mateus Fernandes,15000000.0,44000000.0,193.33,55
Eredivisie,AZ Alkmaar,Weslley Patati,2500000.0,7300000.0,192.0,56
Premier League,Brighton & Hove Albion,Charalampos Kostoulas,12000000.0,35000000.0,191.67,57
Super Lig,Galatasaray,Uğurcan Çakır,9500000.0,27500000.0,189.47,58
Saudi Pro League,Al-Qadsiah FC,Musab Al-Juwayr,4000000.0,11520000.0,188.0,59
Saudi Pro League,Al-Qadsiah FC,Meshary Sanyor,400000.0,1150000.0,187.5,60
Saudi Pro League,NEOM SC,Luciano Rodríguez,7000000.0,20000000.0,185.71,61
Ligue 1,OGC Nice,Isak Jansson,3500000.0,10000000.0,185.71,62
Bundesliga,Bayer 04 Leverkusen,Janis Blaswich,700000.0,2000000.0,185.71,63
Saudi Pro League,Al-Najma SC,Samir Caetano,1800000.0,5100000.0,183.33,64
Saudi Pro League,Al-Qadsiah FC,Mohamed Al-Thani,900000.0,2530000.0,181.11,65
Liga Portugal,CD Tondela,Brayan Medina,900000.0,2500000.0,177.78,66
Liga Portugal,Sporting CP,Luis Suárez,8000000.0,22200000.0,177.5,67
Liga Portugal,SC Braga,Mario Dorgeles,4000000.0,11000000.0,175.0,68
Ligue 1,OGC Nice,Kojo Peprah Oppong,1000000.0,2680000.0,168.0,69
Serie A,US Lecce,Corrie Ndaba,350000.0,930000.0,165.71,70
Premier League,Sunderland AFC,Robin Roefs,4000000.0,10500000.0,162.5,71
Saudi Pro League,Al-Nassr FC,Abdulmalik Al-Jaber,700000.0,1800000.0,157.14,72
Premier League,Newcastle United,Nick Woltemade,30000000.0,75000000.0,150.0,73
Saudi Pro League,Al-Ahli SFC,Valentin Atangana,10000000.0,25000000.0,150.0,74
Premier League,Sunderland AFC,Chemsdine Talbi,8000000.0,20000000.0,150.0,75
Bundesliga,Bayer 04 Leverkusen,Ernest Poku,4000000.0,10000000.0,150.0,76
Saudi Pro League,Al-Najma SC,Lázaro,2000000.0,5000000.0,150.0,77
Serie A,Udinese Calcio,Luca Kjerrumgaard,2000000.0,5000000.0,150.0,78
Bundesliga,VfB Stuttgart,Lazar Jovanovic,2000000.0,5000000.0,150.0,79
Serie A,Como 1907,Jacobo Ramón,1000000.0,2500000.0,150.0,80
Premier League,Brighton & Hove Albion,Do-young Yoon,800000.0,2000000.0,150.0,81
Bundesliga,1.FC Union Berlin,Dmytro Bogdanov,250000.0,600000.0,140.0,82
Ligue 1,RC Strasbourg Alsace,Joaquín Panichelli,7000000.0,16500000.0,135.71,83
Premier League,Manchester United,Senne Lammens,9000000.0,21000000.0,133.33,84
Eredivisie,Twente Enschede FC,Daouda Weidmann,300000.0,700000.0,133.33,85
Premier League,Tottenham Hotspur,Kota Takai,2500000.0,5800000.0,132.0,86
Ligue 1,FC Toulouse,Emersonn,1400000.0,3200000.0,128.57,87
Super Lig,Trabzonspor,Felipe Augusto,2200000.0,5000000.0,127.27,88
Saudi Pro League,Al-Qadsiah FC,Christopher Bonsu Baah,7500000.0,17000000.0,126.67,89
Brasileiro,Botafogo de Futebol e Regatas,Álvaro Montoro,3500000.0,7900000.0,125.71,90
Premier League,Everton FC,Adam Aznou,4000000.0,9000000.0,125.0,91
Ligue 1,Paris FC,Hamari Traoré,2000000.0,4500000.0,125.0,92
Brasileiro,Santos FC,Gustavo Caballero,600000.0,1300000.0,116.67,93
Bundesliga,VfB Stuttgart,Badredine Bouanani,7000000.0,15000000.0,114.29,94
Serie A,ACF Fiorentina,Roberto Piccoli,12000000.0,25000000.0,108.33,95
Bundesliga,Bayer 04 Leverkusen,Equi Fernández,12000000.0,25000000.0,108.33,96
Premier League,Burnley FC,Bashir Humphreys,7000000.0,14000000.0,100.0,97
Serie A,AC Milan,Zachary Athekame,5000000.0,10000000.0,100.0,98
Eredivisie,Feyenoord Rotterdam,Gonçalo Borges,5000000.0,10000000.0,100.0,99
Brasileiro,Red Bull Bragantino,Vanderlan,3500000.0,7000000.0,100.0,100
Saudi Pro League,NEOM SC,Luís Maximiano,3000000.0,6000000.0,100.0,101
Ligue 1,RC Lens,Robin Risser,1500000.0,3000000.0,100.0,102
Liga Portugal,FC Famalicão,Léo Realpe,1500000.0,3000000.0,100.0,103
Brasileiro,Cruzeiro Esporte Clube,Ryan Guilherme,700000.0,1400000.0,100.0,104
